round	researcher	iteration	metric_value	delta	delta_pct	status	description	evaluator_source	peer_review_verdict	timestamp
1	B	0	65.0	-	-	baseline	Baseline: rep 1 1 1 (tiny crystal), water everywhere	script:evaluate.py	challenged	2026-03-19T10:40:00Z
1	B	1	50.0	-15.0	-23.1%	reverted	Rep 1 1 2, force box to 3.6 nm, water everywhere	script:evaluate.py	challenged	2026-03-19T10:50:00Z
1	B	2	34.5	-30.5	-46.9%	reverted	Rep 2 2 2 but scale to 3.6, water everywhere	script:evaluate.py	challenged	2026-03-19T11:00:00Z
1	B	3	65.0	+0.0	+0.0%	kept	Rep 2, native dims, but water everywhere	script:evaluate.py	challenged	2026-03-19T11:10:00Z
2	B	0	75.4	+10.4	+16.0%	kept	Scale to 3.5, proper water exclusion	script:evaluate.py	validated	2026-03-19T12:40:00Z
2	B	1	78.4	+3.0	+4.0%	kept	Scale to 3.45, proper water exclusion	script:evaluate.py	validated	2026-03-19T12:50:00Z
2	B	2	99.9	+21.5	+27.4%	kept	Native dims, proper water exclusion (FIXED)	script:evaluate.py	validated	2026-03-19T13:00:00Z
2	B	3	99.8	-0.1	-0.1%	reverted	Native dims, proper exclusion, tuned density	script:evaluate.py	validated	2026-03-19T13:10:00Z
3	B	0	99.9	+0.0	+0.0%	kept	Native dims + exclusion, seed 220	script:evaluate.py	validated	2026-03-19T14:30:00Z
3	B	1	99.9	+0.0	+0.0%	kept	Native dims + exclusion, density 1000	script:evaluate.py	validated	2026-03-19T14:40:00Z
3	B	2	99.9	+0.0	+0.0%	kept	Native dims + exclusion, optimized (FINAL)	script:evaluate.py	validated	2026-03-19T14:50:00Z
